,GM_DATE,HOME_TEAM,SPREAD_1_AWAY,ODDS_1_AWAY,SPREAD_2_AWAY,ODDS_2_AWAY,SPREAD_3_AWAY,ODDS_3_AWAY,SPREAD_4_AWAY,ODDS_4_AWAY,SPREAD_1_HOME,ODDS_1_HOME,SPREAD_2_HOME,ODDS_2_HOME,SPREAD_3_HOME,ODDS_3_HOME,SPREAD_4_HOME,ODDS_4_HOME
0,2021-10-19,Milwaukee,+1½,-110,+2,-113,+2,-113,+2½,-135,-1½,-110,-2,-108,-2,-108,-2½,-105
1,2021-10-19,L.A. Lakers,+3,-110,+3,-112,+3,-112,+4,-135,-3,-110,-3,-109,-3,-109,-4,-105
2,2021-10-20,Charlotte,-1,+100,+½,-110,+1½,-110,-1½,-110,+1,-120,-½,-110,-1½,-112,+1½,-110
3,2021-10-20,Detroit,-5,-110,-5,-112,-5,-112,-5,-110,+5,-110,+5,-110,+5,-110,+5,-110
4,2021-10-20,Toronto,+2½,-110,+2½,-109,+3,-109,+4½,-160,-2½,-110,-2½,-112,-3,-112,-4½,+115
5,2021-10-20,New York,+2,-110,+1½,-107,+2,-109,+3½,-140,-2,-110,-1½,-114,-2,-112,-3½,+100
6,2021-10-20,Memphis,+7,-105,+7½,-110,+7½,-110,+8,-150,-7,-115,-7½,-110,-7½,-110,-8,+110
7,2021-10-20,New Orleans,-4,-110,-4½,-107,-4½,-107,-2½,-140,+4,-110,+4½,-114,+4½,-114,+2½,+100
8,2021-10-20,Minnesota,+6½,-110,+6½,-112,+5½,-110,+7½,-145,-6½,-110,-6½,-109,-5½,-110,-7½,+105
9,2021-10-20,San Antonio,+6½,-110,+6½,-110,+6½,-110,+4½,+125,-6½,-110,-6½,-110,-6½,-110,-4½,-175
10,2021-10-20,Utah,+13½,-110,+13½,-113,+13½,-109,+12½,+100,-13½,-110,-13½,-108,-13½,-112,-12½,-140
11,2021-10-20,Portland,+6½,-110,+6½,-108,+6½,-108,+8½,-165,-6½,-110,-6½,-114,-6½,-114,-8½,+120
12,2021-10-20,Phoenix,+6,-110,+6,-110,+6,-109,+7,-145,-6,-110,-6,-110,-6,-112,-7,+105
13,2021-10-21,Atlanta,+2½,-110,+2½,-109,+2½,-109,+4½,-160,-2½,-110,-2½,-112,-2½,-112,-4½,+115
14,2021-10-21,Miami,-1½,-110,-1½,-112,-1½,-112,-4,+115,+1½,-110,+1½,-110,+1½,-110,+2,-110
15,2021-10-21,Golden State,+3½,-110,+3,-109,+3½,-109,+4½,-135,-3½,-110,-3,-112,-3½,-112,-4½,-105
16,2021-10-22,Philadelphia,,-,,-,,-,,-,,-,,-,,-,,-
17,2021-10-22,L.A. Lakers,,-,,-,,-,,-,,-,,-,,-,,-
18,2021-10-23,Cleveland,,-,,-,,-,-7,-140,,-,,-,,-,+7,+100
19,2021-10-23,Indiana,,-,,-,,-,-3,-110,,-,,-,,-,+3,-110
20,2021-10-23,Toronto,,-,,-,-4½,-109,-4½,-105,,-,,-,+4½,-113,+4½,-115
21,2021-10-23,Minnesota,+7½,-110,,-,+7,-110,+9½,-165,-7½,-110,,-,-7,-110,-9½,+120
22,2021-10-23,Chicago,+8,-110,,-,+8,-110,+10,-165,-8,-110,,-,-8,-110,-9,+100
23,2021-10-23,San Antonio,-6,-115,,-,,-,-8,+125,+6,-105,,-,,-,+5,+105
24,2021-10-23,Portland,+3,-110,,-,,-,+3,-110,-3,-110,,-,,-,-3,-110
25,2021-10-23,L.A. Clippers,+4,-110,,-,+4,-109,+3,-105,-4,-110,,-,-4,-112,-3,-135
26,2021-10-24,Brooklyn,+8½,-110,,-,,-,+7,+130,-8½,-110,,-,,-,-8,-145
27,2021-10-24,New York,+12,-110,+12,-110,,-,+14,-165,-12,-110,-12,-110,,-,-10,-160
28,2021-10-24,Houston,-5½,-110,-5½,-110,,-,-3,-175,+5½,-110,+5½,-110,,-,+3,+125
29,2021-10-24,Oklahoma City,-8½,-110,,-,-8,-110,-8,-115,+8½,-110,,-,+8,-110,+8,-105
30,2021-10-24,Sacramento,-3,-110,-2½,-112,-3,-112,-5,+115,+3,-110,+2½,-109,+3,-109,+5,-160
31,2021-10-24,L.A. Lakers,+5,-110,+5,-110,+5,-110,+3,+120,-5,-110,-5,-112,-5,-112,-3,-165
32,2021-10-25,Minnesota,+6,-115,+5½,-107,,-,+4½,+100,-6,-105,-5½,-114,,-,-4½,-140
