,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0021400002,1610612759,Spurs,SAS,San Antonio,240:00,113.4,117.4,114.5,116.3,-1.0,1.2,0.622,1.1,19.0,0.306,,,23.585,24.4,0.629,0.656,1.0,0.194,88.2,86.0,71.67,86.0,0.512
1,0021400002,1610612742,Mavericks,DAL,Dallas,240:00,114.5,116.3,113.4,117.4,1.0,-1.2,0.447,1.7,15.0,,0.694,,11.447,11.6,0.538,0.579,1.0,0.201,88.2,86.0,71.67,86.0,0.488
2,0021400003,1610612747,Lakers,LAL,Los Angeles,240:00,91.7,94.7,113.7,114.9,-22.0,-20.2,0.571,1.23,12.8,0.315,0.646,0.471,13.244,13.7,0.373,0.468,1.0,0.196,96.58,94.5,78.75,95.0,0.349
3,0021400003,1610612745,Rockets,HOU,Houston,240:00,113.7,114.9,91.7,94.7,22.0,20.2,0.71,1.57,16.8,0.354,0.685,0.529,14.737,14.9,0.507,0.568,1.0,0.2,96.58,94.5,78.75,94.0,0.651
4,0021400001,1610612753,Magic,ORL,Orlando,240:00,88.2,88.4,103.4,106.3,-15.2,-17.9,0.531,0.94,13.3,0.327,0.592,0.476,18.9,18.9,0.405,0.45,1.0,0.2,96.44,95.0,79.17,95.0,0.403
5,0021400001,1610612740,Pelicans,NOP,New Orleans,240:00,103.4,106.3,88.2,88.4,15.2,17.9,0.488,2.22,13.9,0.408,0.673,0.524,9.218,9.5,0.426,0.441,1.0,0.199,96.44,95.0,79.17,95.0,0.597
6,0021400010,1610612752,Knicks,NYK,New York,240:00,88.4,89.9,116.6,116.9,-28.2,-27.0,0.613,1.58,15.4,0.321,0.703,0.473,13.263,13.5,0.382,0.433,1.0,0.199,89.84,89.0,74.17,89.0,0.329
7,0021400010,1610612741,Bulls,CHI,Chicago,240:00,116.6,116.9,88.4,89.9,28.2,27.0,0.583,1.4,17.5,0.297,0.679,0.527,16.816,16.9,0.556,0.618,1.0,0.2,89.84,89.0,74.17,89.0,0.671
8,0021400013,1610612756,Suns,PHX,Phoenix,240:00,125.4,128.0,99.0,107.6,26.4,20.3,0.511,1.64,18.1,,0.627,,14.749,15.1,0.646,0.662,1.0,0.2,97.46,92.5,77.08,93.0,0.577
9,0021400013,1610612747,Lakers,LAL,Los Angeles,240:00,99.0,107.6,125.4,128.0,-26.4,-20.3,0.541,1.33,15.2,0.373,,,15.0,16.3,0.453,0.51,1.0,0.193,97.46,92.5,77.08,92.0,0.423
10,0021400006,1610612738,Celtics,BOS,Boston,240:00,118.5,119.8,101.5,104.0,17.0,15.8,0.571,2.15,20.1,0.244,0.674,0.455,12.73,12.9,0.602,0.617,1.0,0.196,102.78,101.0,84.17,101.0,0.574
11,0021400006,1610612751,Nets,BKN,Brooklyn,240:00,101.5,104.0,118.5,119.8,-17.0,-15.8,0.513,0.95,15.1,0.326,0.756,0.545,20.302,20.8,0.531,0.574,1.0,0.201,102.78,101.0,84.17,101.0,0.426
12,0021400007,1610612764,Wizards,WAS,Washington,240:00,102.6,103.3,114.9,116.3,-12.3,-13.0,0.556,1.43,16.7,,,,15.125,15.2,0.52,0.555,1.0,0.199,92.84,92.0,76.67,92.0,0.431
13,0021400007,1610612748,Heat,MIA,Miami,240:00,114.9,116.3,102.6,103.3,12.3,13.0,0.513,1.43,16.0,,,,15.034,15.2,0.537,0.587,1.0,0.198,92.84,92.0,76.67,92.0,0.569
14,0021400015,1610612757,Trail Blazers,POR,Portland,240:00,113.2,117.8,95.2,101.1,17.9,16.6,0.59,2.3,17.7,0.385,0.64,0.51,10.675,11.1,0.511,0.548,1.0,0.199,93.56,89.0,74.17,90.0,0.605
15,0021400015,1610612760,Thunder,OKC,Oklahoma City,240:00,95.2,101.1,113.2,117.8,-17.9,-16.6,0.576,1.27,15.0,0.36,0.615,0.49,16.053,17.0,0.42,0.481,1.0,0.194,93.56,89.0,74.17,88.0,0.395
16,0021400012,1610612762,Jazz,UTA,Utah,240:00,103.9,104.5,111.6,115.6,-7.7,-11.1,0.421,1.14,13.5,0.341,0.649,0.481,15.646,15.7,0.488,0.526,1.0,0.199,91.32,89.5,74.58,89.0,0.469
17,0021400012,1610612745,Rockets,HOU,Houston,240:00,111.6,115.6,103.9,104.5,7.7,11.1,0.45,1.0,15.1,0.351,0.659,0.519,19.322,20.0,0.61,0.625,1.0,0.198,91.32,89.5,74.58,90.0,0.531
18,0021400005,1610612755,76ers,PHI,Philadelphia,240:00,92.7,97.8,105.8,112.0,-13.2,-14.1,0.5,1.55,13.1,0.367,0.617,0.477,11.202,11.8,0.416,0.445,1.0,0.201,97.76,92.5,77.08,93.0,0.355
19,0021400005,1610612754,Pacers,IND,Indiana,240:00,105.8,112.0,92.7,97.8,13.2,14.1,0.579,1.22,16.5,0.383,0.633,0.523,18.496,19.6,0.519,0.552,1.0,0.196,97.76,92.5,77.08,92.0,0.645
20,0021400014,1610612758,Kings,SAC,Sacramento,240:00,73.1,73.3,91.3,90.5,-18.2,-17.1,0.542,0.48,9.7,0.31,0.822,0.534,25.617,25.7,0.327,0.412,1.0,0.199,104.74,105.0,87.5,105.0,0.301
21,0021400014,1610612744,Warriors,GSW,Golden State,240:00,91.3,90.5,73.1,73.3,18.2,17.1,0.636,0.95,15.9,0.178,0.69,0.466,21.138,21.0,0.48,0.533,1.0,0.2,104.74,105.0,87.5,105.0,0.699
22,0021400011,1610612765,Pistons,DET,Detroit,240:00,78.7,82.3,89.3,93.7,-10.6,-11.4,0.484,0.94,12.2,0.281,0.661,0.474,15.943,16.7,0.405,0.428,1.0,0.199,100.0,95.5,79.58,96.0,0.385
